# swp_version: 0.1.0
# swp_git_commit: 5bd8c717c95bebc32a1c25562763a2ad57f6c3f4
# swp_git_branch: review-followup
# swp_git_dirty: 83 modified: README.md, configs/passive.yaml, docs/HANDOFF.md, docs/low_snr_extraction_sweep.md, docs/passive_search.md, docs/phantom_parameter_sweep.md, scripts/ablation.py -> scripts/archive/ablation.py, scripts/aperture_trend.py -> scripts/archive/aperture_trend.py, scripts/caenen_analyze.py -> scripts/archive/caenen_analyze.py, scripts/caenen_methods.py -> scripts/archive/caenen_methods.py, ... (+73)
# swp_git_diff_sha256: aea29eae4ecf8823b49ef99d53c5b3a999200a6732f6369114a0bc647cc607e4
# zea_version: 0.1.1
# zea_source: D:/Luuk van Knippenberg/Github/zea
# zea_git_commit: 8c2699fd32b969582049d0f704ac3edb862910be
# zea_git_branch: verasonics-multibuffer-clean
# zea_git_dirty: 
# numpy: 2.5.0
# scipy: 1.18.0
# python: 3.12.13
# host: EEMATLAB-OP02
# created_utc: 2026-09-24T09:51:10+00:00
# keras_backend: torch
# command: invivo_recipe_contrast.py
# config_sha256: 1952ebd3ff4ddf5c18c73ae4bf8ccbfc8d188ee7f241834779391fcc0bf5e10f
dataset,push,recipe,oc_push,oc_nopush,sym_push,sym_nopush,amp_push,amp_nopush,d_oc,log2_amp
iv0804_30V,m8,caenen_cont,0.7660545077181261,0.8062305305508842,0.47336510091551537,0.7580623233483391,0.0008931529562591541,0.0012977902378511989,-0.04017602283275812,-0.5390780497267736
iv0804_30V,m8,caenen_cont_gian,0.7487771188474568,0.8056378068242137,0.5018448171730776,0.7581525760199733,0.000786932471670424,0.0012963526295340427,-0.05686068797675692,-0.7201464632545701
iv0804_30V,m9,current,0.7594582044093338,0.6605815038230932,0.32332545597247736,0.2207151091986208,3.250980194679883e-06,4.520149487732087e-07,0.09887670058624054,2.8464323764959802
iv0804_30V,m9,f2f_current,0.8339114867730989,0.7939014274331749,0.11211000907298505,0.31475274418531407,0.0008435690246870662,0.0008941852432771765,0.040010059339923965,-0.08406761603833333
iv0804_30V,m9,caenen,0.598328203124089,0.6412605824535221,0.41370505783872946,0.4149278801263267,0.001737921087415396,0.002020474571621097,-0.04293237932943317,-0.21733161863368627
iv0804_30V,m9,caenen_dir,0.7599294158345313,0.7170059920351193,0.3523052169675868,0.3472118458898856,0.0007123406294120387,0.0007943193753315196,0.04292342379941205,-0.1571519155757093
iv0804_30V,m9,caenen_cont,0.7067281994588959,0.7937984405075968,0.7164950381971567,0.40478874692936007,0.0008198280070797026,0.00115954313621389,-0.08707024104870098,-0.5001633092641257
iv0804_30V,m9,caenen_cont_gian,0.688175254014537,0.7937129391913157,0.7047484421062422,0.4044445501450799,0.0007431157186129061,0.001157516101420506,-0.10553768517677864,-0.6393734709048342
iv0804_30V,m10,current,0.8144336178936987,0.75845381914491,-0.16224507410803862,0.03563812791732924,8.84713921828123e-08,4.9530067458161066e-08,0.05597979874878878,0.8369064396272764
iv0804_30V,m10,f2f_current,0.7167628424867171,0.6623169969956182,-0.00040372055659284434,0.2777122174463434,0.00032366569262057737,0.00020022271072287878,0.054445845491098877,0.6928988287855679
iv0804_30V,m10,caenen,0.6114969239118504,0.6667020656510114,-0.0034353363108111995,0.11783942637368053,0.0009190128037215587,0.0005761542428221484,-0.05520514173916102,0.6736298726454744
iv0804_30V,m10,caenen_dir,0.6453807781358593,0.634955897107638,-0.10576114683882298,0.4026944075422535,0.00036873000266176854,0.00024147341284653915,0.010424881028221256,0.6107004582669678
iv0804_30V,m10,caenen_cont,0.6954951781720813,0.7455910531454782,0.7346966187073235,0.47312723725587186,0.0003522606417954534,0.00035652606729623566,-0.05009587497339696,-0.01736427172328688
iv0804_30V,m10,caenen_cont_gian,0.6875559620394674,0.746095709183099,0.7322330432813701,0.4706015200765915,0.00036477640406648457,0.0003573587194961391,-0.058539747143631526,0.029639420088367233
iv0804_30V,m11,current,0.9461735006407473,0.7688719020327375,0.4113103331571182,0.21552974193034197,5.773682120007949e-06,2.0219950013338964e-06,0.17730159860800987,1.5137122490123336
iv0804_30V,m11,f2f_current,0.670501432731688,0.5528919763811151,0.44110259947839775,0.03503653186849893,0.002044041151467496,0.0010476438899915841,0.11760945635057296,0.9642758351598799
iv0804_30V,m11,caenen,0.62762267132226,0.534011689908287,0.3928369250830099,0.7788960801254174,0.017504898627494624,0.004384241478831876,0.09361098141397306,1.9973595394737704
iv0804_30V,m11,caenen_dir,0.5729493017109758,0.5684485875937993,0.7949604045912435,0.15958540485706676,0.003719419652514757,0.001159767674157796,0.004500714117176452,1.68124170053437
iv0804_30V,m11,caenen_cont,0.6024664070052774,0.6697305113730616,0.4292456275482134,0.4029183609660666,0.0047403808397080685,0.0017610475442494378,-0.06726410436778418,1.4285691099858324
iv0804_30V,m11,caenen_cont_gian,0.6020517651555906,0.670059398722055,0.404358847674947,0.4059890086204687,0.004657040336492853,0.0017630581202571893,-0.06800763356646444,1.4013333432321384
iv0804_30V,m12,current,0.9004701434793996,0.9903647662468082,0.7112288941476953,0.4443931178698618,1.4044463045828276e-06,6.074826337907263e-06,-0.08989462276740867,-2.112841698980856
iv0804_30V,m12,f2f_current,0.8351168225476377,0.7229449045037097,0.45948107732111626,0.16381873825381305,0.0009696981544042237,0.001759607220432796,0.11217191804392801,-0.8596457831539253
iv0804_30V,m12,caenen,0.603758278956078,0.6326318378902951,0.2659796338826658,0.545101530526192,0.0038935602789308995,0.008721090204030398,-0.02887355893421706,-1.1634185325520983
iv0804_30V,m12,caenen_dir,0.8078596417703084,0.7372451969724764,0.7246995893101794,0.48575915501207423,0.001199387780534406,0.0019996401352459113,0.07061444479783208,-0.7374422094046647
iv0804_30V,m12,caenen_cont,0.6838407701581501,0.709287424609762,0.12929065046670074,0.7836136411823623,0.00340157929254651,0.006087471255839022,-0.025446654451611872,-0.8396383355549142
iv0804_30V,m12,caenen_cont_gian,0.6888538324604117,0.7077703256023378,0.09961711562473359,0.7820780756749847,0.0030575937643558195,0.005981404957832402,-0.018916493141926116,-0.9680876541934658
iv0804_30V,m13,current,0.8134613201614684,0.9620155910517126,0.5171592540155173,0.5254022864818181,8.341728610461538e-06,1.36827262958459e-05,-0.1485542708902442,-0.7139374356767209
iv0804_30V,m13,f2f_current,0.8573533151365663,0.7559601271232386,0.5583180771163294,0.316622384002746,0.004800594801711043,0.00789402404603036,0.10139318801332775,-0.7175477446061969
iv0804_30V,m13,caenen,0.7098884459819205,0.5924809701971258,-0.07748281474970159,-0.030426564573447244,0.0473665799516859,0.05216266642466552,0.11740747578479471,-0.1391481108280736
iv0804_30V,m13,caenen_dir,0.7797696959411144,0.627265377625406,0.07586806606662702,-0.2800028177558673,0.025043967944646178,0.024225439550005327,0.15250431831570843,0.04794031738352469
iv0804_30V,m13,caenen_cont,0.7521056516691549,0.690561650324365,-0.34722577928524284,0.04829629767222387,0.031738567281954844,0.03354082392855426,0.06154400134478988,-0.07968112445374811
iv0804_30V,m13,caenen_cont_gian,0.75345523635734,0.6904634268267441,-0.3404417426201873,0.04599269890428773,0.03168824640423065,0.03347681916005683,0.06299180953059591,-0.079214630375629
iv0804_30V,m14,current,0.9488725374622481,0.9401537380340296,0.2394796622101708,0.5254585663827953,6.387704847035433e-06,1.0946731286052087e-05,0.008718799428218516,-0.7771305851272466
iv0804_30V,m14,f2f_current,0.8037557601765897,0.7728503918380896,0.20790309250415825,0.17005327674284118,0.0062896474654838665,0.006741977267470216,0.030905368338500105,-0.10019260650091305
iv0804_30V,m14,caenen,0.5981105554153082,0.7053097227145682,-0.04024951569504979,0.3085219296594461,0.06444503170538406,0.0623154287192751,-0.10719916729925993,0.04847973510883077
iv0804_30V,m14,caenen_dir,0.7503358550667956,0.7339827104824163,-0.10744890999847388,-0.05807297835617584,0.025553427810712848,0.0278179891205024,0.01635314458437931,-0.12250130409642249
